 3.90 c0.91 · 8% of decks | Executioner's Capsule {B} | Artifact | {1}{B}, {T}, Sacrifice this artifact: Destroy target nonblack creature.
 2.80 c0.53 GEM · not on EDHREC page | Moonlight Bargain {3}{B}{B} | Instant | Look at the top five cards of your library. For each card, put that card into your gravey…
 2.80 c0.61 GEM · not on EDHREC page | Voidforged Titan {4}{B} | Artifact Creature — Robot Warrior 5/4 | Void — At the beginning of your end step, if a nonland permanen…
 2.80 c0.71 GEM · not on EDHREC page | Benthic Criminologists {4}{U} | Creature — Merfolk Wizard 4/5 | Whenever this creature enters or attacks, you may sacrifice an ar…
 2.80 c0.69 GEM · not on EDHREC page | Aeolipile {2} | Artifact | {1}, {T}, Sacrifice this artifact: It deals 2 damage to any target.
 2.79 c0.63 GEM · not on EDHREC page | Warlock Class {B} | Enchantment — Class | (Gain the next level as a sorcery to add its ability.) At the beginning of your end ste…
 2.79 c0.68 GEM · not on EDHREC page | Eloise, Nephalia Sleuth {3}{U}{B} | Legendary Creature — Human Rogue 4/4 | Whenever another creature you control dies, investigat…
 2.79 c0.64 GEM · not on EDHREC page | Ransack the Lab {1}{B} | Sorcery | Look at the top three cards of your library. Put one of them into your hand and the rest into …
 2.79 c0.58 GEM · not on EDHREC page | Follow the Bodies {2}{U} | Sorcery | Gravestorm (When you cast this spell, copy it for each permanent put into a graveyard from t…
 2.79 c0.54 · 6% of decks | Vessel of Nascency {G} | Enchantment | {1}{G}, Sacrifice this enchantment: Reveal the top four cards of your library. You may put…
 2.79 c0.73 GEM · not on EDHREC page | Ichor Shade {2}{B} | Creature — Phyrexian Shade 2/3 | At the beginning of your end step, if an artifact or creature was put into …
 2.79 c0.69 GEM · not on EDHREC page | Sultai Soothsayer {2}{B}{G}{U} | Creature — Snake Shaman 2/5 | When this creature enters, look at the top four cards of your libr…
 2.79 c0.72 GEM · not on EDHREC page | Vial of Dragonfire {2} | Artifact | {2}, {T}, Sacrifice this artifact: It deals 2 damage to target creature.
 2.79 c0.70 GEM · not on EDHREC page | Illuminated Wings {1}{U} | Enchantment — Aura | Enchant creature Enchanted creature has flying. {2}, Sacrifice this Aura: Draw a …
 2.78 c0.67 GEM · not on EDHREC page | Umbral Collar Zealot {1}{B} | Creature — Human Cleric 3/2 | Sacrifice another creature or artifact: Surveil 1. (Look at the top c…
 2.78 c0.63 · 27% of decks | Skull Prophet {B}{G} | Creature — Human Druid 3/1 | {T}: Add {B} or {G}. {T}: Mill two cards. (Put the top two cards of your libr…
 2.78 c0.47 GEM · not on EDHREC page | Yarok, the Desecrated {2}{B}{G}{U} | Legendary Creature — Elemental Horror 3/5 | Deathtouch, lifelink If a permanent entering cau…
 2.78 c0.57 GEM · not on EDHREC page | Era of Innovation {1}{U} | Enchantment | Whenever an artifact or Artificer you control enters, you may pay {1}. If you do, you ge…
 2.78 c0.69 GEM · not on EDHREC page | Sinister Starfish {1}{B} | Creature — Starfish 0/3 | {T}: Surveil 1. (Look at the top card of your library. You may put it into y…
 2.78 c0.52 GEM · not on EDHREC page | Aid from the Cowl {3}{G}{G} | Enchantment | Revolt — At the beginning of your end step, if a permanent left the battlefield under…
 2.78 c0.71 GEM · not on EDHREC page | Cephalid Inkmage {2}{U} | Creature — Octopus Wizard 2/2 | When this creature enters, surveil 3. (Look at the top three cards of y…
 2.78 c0.66 GEM · not on EDHREC page | Implement of Malice {2} | Artifact | {B}, Sacrifice this artifact: Target player discards a card. Activate only as a sorcery. Whe…
 2.78 c0.55 GEM · not on EDHREC page | Recantation {3}{U}{U} | Enchantment | At the beginning of your upkeep, you may put a verse counter on this enchantment. {U}, Sacr…
 2.77 c0.72 GEM · not on EDHREC page | Etherium Sculptor {1}{U} | Artifact Creature — Vedalken Artificer 1/2 | Artifact spells you cast cost {1} less to cast.
 2.77 c0.64 GEM · not on EDHREC page | Liliana of the Veil {1}{B}{B} | Legendary Planeswalker — Liliana [3] | +1: Each player discards a card. −2: Target player sacrifi…
 2.77 c0.63 GEM · not on EDHREC page | Perilous Research {1}{U} | Instant | Draw two cards, then sacrifice a permanent.
 2.77 c0.72 GEM · not on EDHREC page | Chupacabra Echo {2}{B}{B} | Creature — Beast Horror Spirit 3/2 | Fathomless descent — When this creature enters, target creature …
 2.77 c0.59 GEM · not on EDHREC page | Sly Requisitioner {4}{B} | Creature — Human Artificer 2/2 | Improvise (Your artifacts can help cast this spell. Each artifact you…
 2.77 c0.67 GEM · not on EDHREC page | Lilting Refrain {1}{U} | Enchantment | At the beginning of your upkeep, you may put a verse counter on this enchantment. Sacrific…
 2.76 c0.52 GEM · not on EDHREC page | Sanguine Bond {3}{B}{B} | Enchantment | Whenever you gain life, target opponent loses that much life.
 2.76 c0.68 GEM · not on EDHREC page | Foundation Breaker {3}{G} | Creature — Elemental 2/2 | When this creature enters, you may destroy target artifact or enchantment.…
 2.76 c0.63 GEM · not on EDHREC page | Sinister Monolith {3}{B} | Artifact | At the beginning of combat on your turn, each opponent loses 1 life and you gain 1 life. {T…
 2.76 c0.55 GEM · not on EDHREC page | Scarecrone {3} | Artifact Creature — Scarecrow 1/2 | {1}, Sacrifice a Scarecrow: Draw a card. {4}, {T}: Return target artifact cr…
 2.76 c0.66 GEM · not on EDHREC page | Ainok Wayfarer {1}{G} | Creature — Dog Scout 1/1 | When this creature enters, mill three cards. You may put a land card from amon…
 2.76 c0.68 GEM · not on EDHREC page | Ominous Parcel {1} | Artifact | {2}, {T}, Sacrifice this artifact: Search your library for a basic land card, reveal it, put it i…
 2.76 c0.62 GEM · not on EDHREC page | Seer of Stolen Sight {2}{B} | Creature — Phyrexian Warlock 2/3 | Menace (This creature can't be blocked except by two or more cre…
 2.75 c0.63 · 39% of decks | Doc Aurlock, Grizzled Genius {G}{U} | Legendary Creature — Bear Druid 2/3 | Spells you cast from your graveyard or from exile cos…
 2.75 c0.61 GEM · not on EDHREC page | Grist, Voracious Larva // Grist, the Plague Swarm {G} | Legendary Creature — Insect // Legendary Planeswalker — Grist 1/2 | [Gris…
 2.75 c0.60 GEM · not on EDHREC page | Susurian Voidborn {2}{B} | Creature — Vampire Soldier 2/2 | Whenever this creature or another creature or artifact you control di…
 2.75 c0.64 GEM · not on EDHREC page | Candy Trail {1} | Artifact — Food Clue | When this artifact enters, scry 2. {2}, {T}, Sacrifice this artifact: You gain 3 life an…
 2.75 c0.68 GEM · not on EDHREC page | Hour of Victory {2}{B} | Enchantment | Start your engines! When this enchantment enters, create a 2/2 black Zombie creature token…
 2.75 c0.74 GEM · not on EDHREC page | Twinblade Assassins {3}{B}{G} | Creature — Elf Assassin 5/4 | At the beginning of your end step, if a creature died this turn, dr…
 2.75 c0.62 GEM · not on EDHREC page | Confront the Past {X}{B} | Sorcery — Lesson | Choose one — • Return target planeswalker card with mana value X or less from your …
 2.75 c0.61 GEM · not on EDHREC page | Bloodtallow Candle {1} | Artifact | {6}, {T}, Sacrifice this artifact: Target creature gets -5/-5 until end of turn.
 2.74 c0.26 GEM · not on EDHREC page | Agent of the Iron Throne {2}{B} | Legendary Enchantment — Background | Commander creatures you own have "Whenever an artifact or …
 2.74 c0.66 GEM · not on EDHREC page | Final Parting {3}{B}{B} | Sorcery | Search your library for two cards. Put one into your hand and the other into your graveyard. …
 2.74 c0.46 GEM · not on EDHREC page | Squirming Emergence {1}{B}{G} | Sorcery | Fathomless descent — Return to the battlefield target nonland permanent card in your gr…
 2.74 c0.56 GEM · not on EDHREC page | Agent's Toolkit {1}{G}{U} | Artifact — Clue | This artifact enters with a +1/+1 counter, a flying counter, a deathtouch counter, …
 2.74 c0.50 GEM · not on EDHREC page | Reality Acid {2}{U} | Enchantment — Aura | Enchant permanent Vanishing 3 (This Aura enters with three time counters on it. At the…
 2.74 c0.61 GEM · not on EDHREC page | Ahriman {2}{B} | Creature — Eye Horror 2/2 | Flying, deathtouch {3}, Sacrifice another creature or artifact: Draw a card.
 2.74 c0.52 GEM · not on EDHREC page | Salvaging Station {6} | Artifact | {T}: Return target noncreature artifact card with mana value 1 or less from your graveyard to …
 2.74 c0.70 GEM · not on EDHREC page | Secrets of the Key {U} | Instant | Investigate. If this spell was cast from a graveyard, investigate twice instead. (Create a Clu…
 2.74 c0.58 GEM · not on EDHREC page | Boom Box {2} | Artifact | {6}, {T}, Sacrifice this artifact: Destroy up to one target artifact, up to one target creature, and up…
 2.74 c0.62 GEM · not on EDHREC page | Barrin's Codex {4} | Artifact — Book | At the beginning of your upkeep, you may put a page counter on this artifact. {4}, {T}, Sa…
 2.74 c0.52 GEM · not on EDHREC page | Thought Dissector {4} | Artifact | {X}, {T}: Target opponent reveals cards from the top of their library until an artifact card o…
 2.73 c0.72 · 34% of decks | Lightning Greaves {2} | Artifact — Equipment | Equipped creature has haste and shroud. (It can't be the target of spells or abili…
 2.73 c0.68 GEM · not on EDHREC page | Witherbloom Charm {B}{G} | Instant | Choose one — • You may sacrifice a permanent. If you do, draw two cards. • You gain 5 life. …
 2.73 c0.43 GEM · not on EDHREC page | Imotekh the Stormlord {2}{B}{B} | Legendary Artifact Creature — Necron 3/3 | Phaeron — Whenever one or more artifact cards leave …
 2.73 c0.59 GEM · not on EDHREC page | Al Bhed Salvagers {2}{B} | Creature — Human Artificer Warrior 2/3 | Whenever this creature or another creature or artifact you co…
 2.73 c0.63 GEM · not on EDHREC page | Barrels of Blasting Jelly {1} | Artifact | {1}: Add one mana of any color. Activate only once each turn. {5}, {T}, Sacrifice this…
 2.73 c0.61 GEM · not on EDHREC page | Akal Pakal, First Among Equals {2}{U} | Legendary Creature — Human Advisor 1/5 | At the beginning of each player's end step, if a…
 2.73 c0.65 GEM · not on EDHREC page | Scroll of Avacyn {1} | Artifact | {1}, Sacrifice this artifact: Draw a card. If you control an Angel, you gain 5 life.
 2.73 c0.60 GEM · not on EDHREC page | Undead Hand Ninja {1}{B} | Creature — Zombie Ninja Villain 2/1 | Deathtouch Whenever one or more creature cards leave your gravey…
 2.73 c0.67 GEM · not on EDHREC page | Dimir Informant {2}{U} | Creature — Human Rogue 1/4 | When this creature enters, surveil 2. (Look at the top two cards of your li…
 2.72 c0.67 GEM · not on EDHREC page | Fountain of Renewal {1} | Artifact | At the beginning of your upkeep, you gain 1 life. {3}, Sacrifice this artifact: Draw a card.
 2.72 c0.50 GEM · not on EDHREC page | Rat King, Verminister {1}{B} | Legendary Creature — Rat Avatar 1/1 | Disappear — At the beginning of your end step, if a permanen…
 2.72 c0.61 GEM · not on EDHREC page | Morbid Curiosity {1}{B}{B} | Sorcery | As an additional cost to cast this spell, sacrifice an artifact or creature. Draw cards eq…
 2.72 c0.59 GEM · not on EDHREC page | Vraska, Relic Seeker {4}{B}{G} | Legendary Planeswalker — Vraska [6] | +2: Create a 2/2 black Pirate creature token with menace. …
 2.72 c0.59 GEM · not on EDHREC page | Midnight Tilling {1}{G} | Instant | Mill four cards, then you may return a permanent card from among them to your hand. (To mill …
 2.72 c0.69 GEM · not on EDHREC page | Decode Transmissions {2}{B} | Sorcery | You draw two cards and lose 2 life. Void — If a nonland permanent left the battlefield th…
 2.72 c0.62 GEM · not on EDHREC page | Rakshasa's Bargain {2/B}{2/G}{2/U} | Instant | Look at the top four cards of your library. Put two of them into your hand and the…
 2.72 c0.64 GEM · not on EDHREC page | Contract Killing {3}{B}{B} | Sorcery | Destroy target creature. Create two Treasure tokens. (They're artifacts with "{T}, Sacrifi…
 2.72 c0.65 GEM · not on EDHREC page | Patient Naturalist {2}{G} | Creature — Human Scout 2/3 | When this creature enters, mill three cards. Put a land card from among …
 2.72 c0.63 GEM · not on EDHREC page | Runaway Trash-Bot {3} | Artifact Creature — Construct 0/4 | Trample This creature gets +1/+0 for each artifact and/or enchantment…
 2.72 c0.60 GEM · not on EDHREC page | Moriok Replica {3} | Artifact Creature — Warrior 2/2 | {1}{B}, Sacrifice this creature: You draw two cards and you lose 2 life.
 2.72 c0.61 GEM · not on EDHREC page | Tablet of Epityr {1} | Artifact | Whenever an artifact you control is put into a graveyard from the battlefield, you may pay {1}.…
 2.71 c0.69 GEM · not on EDHREC page | Foundry Inspector {3} | Artifact Creature — Construct 3/2 | Artifact spells you cast cost {1} less to cast.
 2.71 c0.68 GEM · not on EDHREC page | Verduran Enchantress {1}{G}{G} | Creature — Human Druid 0/2 | Whenever you cast an enchantment spell, you may draw a card.
 2.71 c0.62 GEM · not on EDHREC page | Terror Tide {2}{B}{B} | Sorcery | Fathomless descent — All creatures get -X/-X until end of turn, where X is the number of perman…
 2.71 c0.58 GEM · not on EDHREC page | Dredger's Insight {1}{G} | Enchantment | Whenever one or more artifact and/or creature cards leave your graveyard, you gain 1 lif…
 2.71 c0.70 GEM · not on EDHREC page | Fangkeeper's Familiar {1}{B}{G}{U} | Creature — Snake 3/3 | Flash When this creature enters, choose one — • You gain 3 life and s…
 2.71 c0.56 GEM · not on EDHREC page | Scrapheap {3} | Artifact | Whenever an artifact or enchantment is put into your graveyard from the battlefield, you gain 1 life.
 2.71 c0.60 GEM · not on EDHREC page | Popular Egotist {2}{B} | Creature — Human Rogue 3/2 | {1}{B}, Sacrifice another creature or enchantment: This creature gains inde…
 2.71 c0.67 GEM · not on EDHREC page | Homicide Investigator {1}{B} | Creature — Human Detective 2/2 | Whenever one or more nontoken creatures you control die, investig…
 2.71 c0.73 GEM · not on EDHREC page | Silkweaver Elite {2}{G} | Creature — Elf Archer 2/2 | Reach (This creature can block creatures with flying.) Revolt — When this c…
 2.71 c0.54 GEM · not on EDHREC page | Dispersing Orb {3}{U}{U} | Enchantment | {3}{U}, Sacrifice a permanent: Return target permanent to its owner's hand.
 2.70 c0.50 · 16% of decks | Cankerbloom {1}{G} | Creature — Phyrexian Fungus 3/2 | {1}, Sacrifice this creature: Choose one — • Destroy target artifact. • De…
 2.70 c0.63 GEM · not on EDHREC page | Syr Ginger, the Meal Ender {2} | Legendary Artifact Creature — Food Knight 3/1 | Syr Ginger has trample, hexproof, and haste as l…
 2.70 c0.60 · 30% of decks | Kheru Goldkeeper {1}{B}{G}{U} | Creature — Dragon 3/3 | Flying Whenever one or more cards leave your graveyard during your turn, …
 2.70 c0.66 GEM · not on EDHREC page | Instant Ramen {2} | Artifact — Food | Flash When this artifact enters, draw a card. {2}, {T}, Sacrifice this artifact: You gain 3…
 2.70 c0.63 GEM · not on EDHREC page | Agent Venom {2}{B} | Legendary Creature — Symbiote Soldier Hero 2/3 | Flash Menace Whenever another nontoken creature you control…
 2.70 c0.61 GEM · not on EDHREC page | Thran Vigil {1}{B} | Enchantment | Whenever one or more artifact and/or creature cards leave your graveyard during your turn, put…
 2.70 c0.64 GEM · not on EDHREC page | Osgood, Operation Double {2}{U}{U} | Legendary Creature — Human Alien Shapeshifter 2/2 | When you cast this spell, create a token…
 2.70 c0.60 GEM · not on EDHREC page | Liliana, Death Mage {4}{B}{B} | Legendary Planeswalker — Liliana [4] | +1: Return up to one target creature card from your gravey…
 2.70 c0.66 GEM · not on EDHREC page | Farsight Ritual {2}{U}{U} | Instant | Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.) Look…
 2.70 c0.64 GEM · not on EDHREC page | Kruphix's Insight {2}{G} | Sorcery | Reveal the top six cards of your library. Put up to three enchantment cards from among them …
 2.70 c0.64 GEM · not on EDHREC page | Rope {G} | Artifact — Clue Equipment | Equipped creature gets +1/+2, has reach, and can't be blocked by more than one creature. {…
 2.70 c0.49 GEM · not on EDHREC page | Sylvok Replica {3} | Artifact Creature — Shaman 1/3 | {G}, Sacrifice this creature: Destroy target artifact or enchantment.
 2.70 c0.67 GEM · not on EDHREC page | Moonglove Extract {3} | Artifact | Sacrifice this artifact: It deals 2 damage to any target.
 2.70 c0.64 GEM · not on EDHREC page | Shrine of Piercing Vision {2} | Artifact | At the beginning of your upkeep and whenever you cast a blue spell, put a charge count…
 2.70 c0.63 GEM · not on EDHREC page | Supply Drop {3} | Artifact | Flash When this artifact enters, target creature you control gets +2/+2 until end of turn. {4}, {T},…
 2.70 c0.62 GEM · not on EDHREC page | Heliophial {5} | Artifact | Sunburst (This artifact enters with a charge counter on it for each color of mana spent to cast it.) …
 2.69 c0.59 GEM · not on EDHREC page | Sai, Master Thopterist {2}{U} | Legendary Creature — Human Artificer 1/4 | Whenever you cast an artifact spell, create a 1/1 colo…
 2.69 c0.66 GEM · not on EDHREC page | Argothian Enchantress {1}{G} | Creature — Human Druid 0/1 | Shroud (This creature can't be the target of spells or abilities.) Wh…
 2.69 c0.55 GEM · not on EDHREC page | Blood Fountain {B} | Artifact | When this artifact enters, create a Blood token. (It's an artifact with "{1}, {T}, Discard a card…
 2.69 c0.41 GEM · not on EDHREC page | Crystal Chimes {3} | Artifact | {3}, {T}, Sacrifice this artifact: Return all enchantment cards from your graveyard to your hand.
 2.69 c0.63 GEM · not on EDHREC page | Bloodbriar {2}{G} | Creature — Plant Elemental 2/3 | Whenever you sacrifice another permanent, put a +1/+1 counter on this creatu…
 2.69 c0.64 GEM · not on EDHREC page | Tenacious Tomeseeker {2}{U} | Creature — Human Knight 3/2 | Bargain (You may sacrifice an artifact, enchantment, or token as you …
 2.69 c0.59 GEM · not on EDHREC page | Wretched Doll {1}{B} | Artifact Creature — Toy 3/1 | {B}, {T}: Surveil 1. (Look at the top card of your library. You may put that…
 2.69 c0.65 GEM · not on EDHREC page | Sudden Insight {4}{U}{U} | Instant | Draw a card for each different mana value among nonland cards in your graveyard.
 2.69 c0.63 GEM · not on EDHREC page | Fixer, Techno Terror {1}{B} | Legendary Creature — Human Artificer Villain 2/1 | {T}, Pay 2 life: Draw a card. Activate only if a…
 2.69 c0.62 GEM · not on EDHREC page | Discordant Dirge {3}{B}{B} | Enchantment | At the beginning of your upkeep, you may put a verse counter on this enchantment. {B},…
 2.68 c0.65 GEM · not on EDHREC page | Harvester of Souls {4}{B}{B} | Creature — Demon 5/5 | Deathtouch (Any amount of damage this deals to a creature is enough to dest…
 2.68 c0.65 GEM · not on EDHREC page | Grim Flayer {B}{G} | Creature — Human Warrior 2/2 | Trample Whenever this creature deals combat damage to a player, surveil 3. (L…
 2.68 c0.46 GEM · not on EDHREC page | Ich-Tekik, Salvage Splicer {4}{G} | Legendary Creature — Phyrexian Human Artificer 1/1 | When Ich-Tekik enters, create a 3/3 colo…
 2.68 c0.58 GEM · not on EDHREC page | Ultron's Auxiliary {1}{B} | Artifact Creature — Robot Villain 1/1 | Menace Whenever another artifact is put into your graveyard f…
 2.68 c0.58 GEM · not on EDHREC page | Lifespark Spellbomb {1} | Artifact | {G}, Sacrifice this artifact: Until end of turn, target land becomes a 3/3 creature that's s…
 2.68 c0.63 GEM · not on EDHREC page | Johann's Stopgap {3}{U} | Sorcery | Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.) This s…
 2.68 c0.67 GEM · not on EDHREC page | Whisper Agent {1}{U/B}{U/B} | Creature — Human Rogue 3/2 | Flash When this creature enters, surveil 1. (Look at the top card of y…
 2.67 c0.37 · 19% of decks | Braids, Arisen Nightmare {1}{B}{B} | Legendary Creature — Nightmare 3/3 | At the beginning of your end step, you may sacrifice an…
 2.67 c0.51 GEM · not on EDHREC page | Rings of Brighthearth {3} | Artifact | Whenever you activate an ability, if it isn't a mana ability, you may pay {2}. If you do, …
 2.67 c0.56 · 7% of decks | Gifts Ungiven {3}{U} | Instant | Search your library for up to four cards with different names and reveal them. Target opponent c…
 2.67 c0.65 GEM · not on EDHREC page | Drag to the Roots {2}{B}{G} | Instant | Delirium — This spell costs {2} less to cast as long as there are four or more card types…
 2.67 c0.65 GEM · not on EDHREC page | Tanglespan Lookout {2}{G} | Creature — Satyr 2/3 | Whenever an Aura you control enters, draw a card.
 2.67 c0.50 GEM · not on EDHREC page | Neerdiv, Devious Diver {2}{U} | Legendary Creature — Merfolk Rogue 2/2 | Whenever Neerdiv becomes tapped, target player mills car…
 2.67 c0.55 GEM · not on EDHREC page | Lazav, the Multifarious {U}{B} | Legendary Creature — Shapeshifter 1/3 | When Lazav enters, surveil 1. (Look at the top card of y…
 2.67 c0.64 GEM · not on EDHREC page | Bonecache Overseer {B} | Creature — Squirrel Warlock 1/1 | {T}, Pay 1 life: Draw a card. Activate only if three or more cards lef…
 2.67 c0.49 GEM · not on EDHREC page | Lotus Blossom {2} | Artifact | At the beginning of your upkeep, you may put a petal counter on this artifact. {T}, Sacrifice this…
 2.67 c0.42 GEM · not on EDHREC page | Necron Overlord {2}{B}{B} | Artifact Creature — Necron Noble 2/5 | Relentless March — {X}, {T}, Tap X untapped artifacts you cont…
 2.67 c0.63 GEM · not on EDHREC page | Omni-Cheese Pizza {2} | Artifact — Food | When this artifact enters, draw a card. {1}, {T}, Sacrifice this artifact: Add one mana…
 2.67 c0.60 GEM · not on EDHREC page | Ovalchase Daredevil {3}{B} | Creature — Human Pilot 4/2 | Whenever an artifact you control enters, you may return this card from …
 2.67 c0.60 GEM · not on EDHREC page | Scientist Supreme of A.I.M. {U}{B} | Legendary Creature — Human Scientist Villain 2/2 | Pay 2 life: Copy target activated or trig…
 2.67 c0.65 GEM · not on EDHREC page | Seer's Vision {2}{U}{B} | Enchantment | Your opponents play with their hands revealed. Sacrifice this enchantment: Look at target…
 2.66 c0.65 GEM · not on EDHREC page | Professor Dellian Fel {2}{B}{G} | Legendary Planeswalker — Dellian [5] | +2: You gain 3 life. 0: You draw a card and lose 1 life.…
 2.66 c0.59 GEM · not on EDHREC page | Moonstone Eulogist {3}{B}{B} | Creature — Bat Warlock 4/4 | Flying Whenever a creature an opponent controls dies, you create a Bl…
 2.66 c0.61 GEM · not on EDHREC page | Akawalli, the Seething Tower {1}{B}{G} | Legendary Creature — Fungus 3/3 | Descend 4 — As long as there are four or more permanen…
 2.66 c0.68 GEM · not on EDHREC page | Nefarious Imp {2}{B} | Creature — Imp 2/1 | Flying Whenever one or more permanents you control leave the battlefield, scry 1. (Lo…
 2.66 c0.64 GEM · not on EDHREC page | Larder Zombie {U} | Creature — Zombie 1/3 | Defender Tap three untapped creatures you control: Surveil 1. (Look at the top card o…
 2.66 c0.63 GEM · not on EDHREC page | Organ Hoarder {3}{U} | Creature — Zombie 3/2 | When this creature enters, look at the top three cards of your library, then put o…
 2.66 c0.63 GEM · not on EDHREC page | Diminisher Witch {2}{U} | Creature — Human Warlock 3/2 | Bargain (You may sacrifice an artifact, enchantment, or token as you cas…
 2.66 c0.60 GEM · not on EDHREC page | Neurok Replica {3} | Artifact Creature — Wizard 1/4 | {1}{U}, Sacrifice this creature: Return target creature to its owner's hand.
 2.65 c0.53 GEM · not on EDHREC page | Strionic Resonator {2} | Artifact | {2}, {T}: Copy target triggered ability you control. You may choose new targets for the copy.…
 2.65 c0.60 GEM · not on EDHREC page | Costly Plunder {1}{B} | Instant | As an additional cost to cast this spell, sacrifice an artifact or creature. Draw two cards.
 2.65 c0.54 GEM · not on EDHREC page | Unstable Obelisk {3} | Artifact | {T}: Add {C}. {7}, {T}, Sacrifice this artifact: Destroy target permanent.
 2.65 c0.59 GEM · not on EDHREC page | Defiant Bloodlord {5}{B}{B} | Creature — Vampire 4/5 | Flying Whenever you gain life, target opponent loses that much life.
 2.65 c0.54 GEM · not on EDHREC page | The Sixth Doctor {4}{G}{U} | Legendary Creature — Time Lord Doctor 3/3 | Time Lord's Prerogative — Whenever you cast a historic s…
 2.65 c0.52 · 17% of decks | Lotuslight Dancers {2}{B}{G}{U} | Creature — Zombie Bard 3/6 | Lifelink When this creature enters, search your library for a blac…
 2.65 c0.61 GEM · not on EDHREC page | Candlestick {U} | Artifact — Clue Equipment | Equipped creature gets +1/+1 and has "Whenever this creature attacks, surveil 2." (…
 2.65 c0.61 GEM · not on EDHREC page | Tragic Trajectory {B} | Sorcery | Target creature gets -2/-2 until end of turn. Void — That creature gets -10/-10 until end of tu…
 2.65 c0.59 GEM · not on EDHREC page | Candy Grapple {1}{B} | Instant | Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.) Target cr…
 2.65 c0.64 GEM · not on EDHREC page | Sanitation Automaton {2} | Artifact Creature — Construct 2/1 | When this creature enters, surveil 1. (Look at the top card of you…
 2.65 c0.67 GEM · not on EDHREC page | Molder Beast {4}{G} | Creature — Beast 5/3 | Trample Whenever an artifact is put into a graveyard from the battlefield, this crea…
 2.65 c0.59 GEM · not on EDHREC page | Ironclad Revolutionary {4}{B}{B} | Creature — Aetherborn Artificer 4/4 | When this creature enters, you may sacrifice an artifact…
 2.64 c0.55 GEM · not on EDHREC page | Summon: Primal Odin {4}{B}{B} | Enchantment Creature — Saga Knight 5/3 | (As this Saga enters and after your draw step, add a lor…
 2.64 c0.60 GEM · not on EDHREC page | Cache Grab {1}{G} | Instant | Mill four cards. You may put a permanent card from among the cards milled this way into your hand. …
 2.64 c0.60 GEM · not on EDHREC page | Five Hundred Year Diary {3}{U} | Legendary Artifact — Book Clue | Five Hundred Year Diary enters tapped. {T}: Add {U} for each Cl…
 2.64 c0.61 GEM · not on EDHREC page | Counterpoint {3}{U}{B} | Instant | Counter target spell. You may cast a creature, instant, sorcery, or planeswalker spell from yo…
 2.64 c0.64 GEM · not on EDHREC page | Moment of Truth {1}{U} | Instant | Look at the top three cards of your library. Put one of those cards into your hand, one into y…
 2.64 c0.63 GEM · not on EDHREC page | Lys Alana Informant {1}{G} | Creature — Elf Scout 3/1 | When this creature enters or dies, surveil 1. (Look at the top card of yo…
 2.63 c0.67 GEM · not on EDHREC page | Fatal Push {B} | Instant | Destroy target creature if it has mana value 2 or less. Revolt — Destroy that creature if it has mana …
 2.63 c0.60 · 16% of decks | Twilight Diviner {2}{B} | Creature — Elf Cleric 3/3 | When this creature enters, surveil 2. (Look at the top two cards of your li…
 2.63 c0.62 GEM · not on EDHREC page | Visions of Beyond {U} | Instant | Draw a card. If a graveyard has twenty or more cards in it, draw three cards instead.
 2.63 c0.48 GEM · not on EDHREC page | Golbez, Crystal Collector {U}{B} | Legendary Creature — Human Wizard 1/4 | Whenever an artifact you control enters, surveil 1. At…
 2.63 c0.56 GEM · not on EDHREC page | Hylda's Crown of Winter {3} | Legendary Artifact | {1}, {T}: Tap target creature. This ability costs {1} less to activate during …
 2.63 c0.65 GEM · not on EDHREC page | Mindwhisker {2}{U} | Creature — Rat Wizard 3/2 | At the beginning of your upkeep, surveil 1. (Look at the top card of your librar…
 2.63 c0.60 GEM · not on EDHREC page | Nick Valentine, Private Eye {2}{U} | Legendary Artifact Creature — Synth Detective 2/2 | Nick Valentine can't be blocked except b…
 2.63 c0.58 GEM · not on EDHREC page | Seed of Hope {G} | Instant | Mill two cards. You may put a permanent card from among the milled cards into your hand. You gain 2 …
 2.63 c0.65 GEM · not on EDHREC page | Ghastly Demise {B} | Instant | Destroy target nonblack creature if its toughness is less than or equal to the number of cards in …
 2.63 c0.61 GEM · not on EDHREC page | Springjaw Trap {1} | Artifact | Flash {4}, {T}, Sacrifice this artifact: It deals 3 damage to any target.
 2.63 c0.58 GEM · not on EDHREC page | Glimpse the Future {2}{U} | Sorcery | Look at the top three cards of your library. Put one of them into your hand and the rest in…
 2.63 c0.60 GEM · not on EDHREC page | Lucid Dreams {3}{U}{U} | Sorcery | Draw X cards, where X is the number of card types among cards in your graveyard.
 2.63 c0.64 GEM · not on EDHREC page | Downdraft {2}{G} | Enchantment | {G}: Target creature loses flying until end of turn. Sacrifice this enchantment: It deals 2 dama…
 2.62 c0.59 GEM · not on EDHREC page | Scour for Scrap {3}{U} | Instant | Choose one or both — • Search your library for an artifact card, reveal it, put it into your h…
 2.62 c0.58 GEM · not on EDHREC page | South Wind Avatar {3}{B} | Creature — Snake Spirit Avatar 3/4 | Deathtouch Whenever another creature you control dies, you gain l…
